latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
19.4508,-92.08936,307.6,2.33,1.48,2025-04-07,0828,A,55,6.1NRT,292.45,25.6,N
19.39429,-92.0384,305.22,2.3,1.47,2025-04-07,0828,A,20,6.1NRT,292.16,19.66,N
25.04885,-107.18484,300.5,1.04,1.02,2025-04-07,1004,A,29,6.1NRT,290.29,5.38,N
25.04725,-107.17472,300.39,1.04,1.02,2025-04-07,1004,A,27,6.1NRT,289.95,5.2,N
24.33871,-106.24191,301.59,1.14,1.07,2025-04-07,1004,A,37,6.1NRT,283.47,8.54,N
24.32953,-106.24422,307.14,1.14,1.07,2025-04-07,1004,A,70,6.1NRT,283.74,12.6,N
24.26785,-106.49157,302.31,1.12,1.05,2025-04-07,1004,A,48,6.1NRT,287.21,7.35,N
21.40173,-104.95476,318.14,1.5,1.21,2025-04-07,1006,A,96,6.1NRT,286.68,33.04,N
21.3978,-104.9621,314.76,1.5,1.21,2025-04-07,1006,A,90,6.1NRT,287.37,27.8,N
21.39538,-104.94806,308.91,1.51,1.21,2025-04-07,1006,A,76,6.1NRT,286.2,19.96,N
18.97188,-99.32579,308.9,4.47,1.94,2025-04-07,1006,A,76,6.1NRT,284.34,98.14,N
29.13556,-107.37434,312.9,1,1,2025-04-07,1004,A,86,6.1NRT,269.47,17.74,N
18.83609,-102.78268,304.15,2.45,1.51,2025-04-07,1006,A,59,6.1NRT,291.95,23.15,N
28.44823,-106.58114,307.28,1.02,1.01,2025-04-07,1004,A,67,6.1NRT,269.86,13.02,N
28.43636,-106.57893,319.59,1.03,1.01,2025-04-07,1004,A,99,6.1NRT,268.77,24.07,N
28.46497,-107.42034,310.41,1,1,2025-04-07,1004,A,80,6.1NRT,269.62,15.79,N
28.82495,-111.7175,303.29,1.4,1.17,2025-04-07,1004,A,54,6.1NRT,283.65,14.6,N
43.26372,-79.80616,307.16,1.46,1.19,2025-04-07,1454,T,49,6.1NRT,289.85,10.5,D
42.80322,-80.09521,300.06,1.49,1.21,2025-04-07,1454,T,0,6.1NRT,283.39,8.29,D
33.35384,-79.32843,314.76,1.08,1.04,2025-04-07,1457,T,52,6.1NRT,298.83,8.56,D
23.01641,-80.59254,342.07,1.01,1,2025-04-07,1459,T,91,6.1NRT,302.26,38.7,D
26.77492,-81.06104,319.19,1.09,1.04,2025-04-07,1459,T,67,6.1NRT,300.16,8.48,D
23.01508,-80.58298,329.86,1.01,1,2025-04-07,1459,T,77,6.1NRT,303.34,20.03,D
22.81448,-79.88454,332.61,1,1,2025-04-07,1459,T,84,6.1NRT,306.17,23.93,D
22.81311,-79.8751,319.71,1,1,2025-04-07,1459,T,58,6.1NRT,303.3,9.21,D
23.00628,-81.74139,314.41,1.08,1.04,2025-04-07,1459,T,48,6.1NRT,300.6,5.89,D
22.72762,-80.78068,324.35,1.01,1.01,2025-04-07,1459,T,75,6.1NRT,301.01,14.2,D
22.61876,-80.13829,346.39,1,1,2025-04-07,1459,T,93,6.1NRT,301.69,47.93,D
22.61741,-80.12886,342.44,1,1,2025-04-07,1459,T,91,6.1NRT,302.27,40.17,D
22.2307,-80.65669,340.76,1.01,1,2025-04-07,1459,T,85,6.1NRT,300.21,36.2,D
22.31641,-81.33997,328.92,1.04,1.02,2025-04-07,1459,T,81,6.1NRT,301.35,21.68,D
